naklad_szt;objetosc_m3;konstrukcja_kg;sklejka_m3;drewno_m3;plyta_m2;druk_m2;led_mb;tworzywa_m2;koszty_pozostale;rodzaj_tworzywa;rodzaj_displaya;stopien_skomplikowania;cena
1;0,001;0,00;0,000;0,000;0,00;0,00;0,00;0,11;0,00;GUMA;pozostale;1;2204,60
3;0,002;0,00;0,050;0,000;0,00;0,10;0,00;0,00;0,00;;pozostale;1;254,79
150;0,220;2,20;0,000;0,000;3,00;1,20;0,00;0,20;0,00;HIPS;regal;3;492,31
1;0,019;0,00;0,000;0,000;0,00;0,25;0,00;0,25;0,00;PMMA;ekspozytor_tworzywowy;1;714,38
1;0,014;0,00;0,000;0,000;0,00;0,19;0,00;0,19;0,00;PMMA;ekspozytor_tworzywowy;1;691,35
1;0,010;3,70;0,000;0,000;0,00;0,12;2,68;0,24;0,00;PMMA;pozostale;3;2085,68
650;0,004;0,00;0,000;0,000;0,00;0,07;0,00;0,08;0,00;PMMA;naladowy;1;32,10
75;0,030;0,15;0,000;0,000;0,00;0,00;0,00;1,10;73,25;HIPS;naladowy;3;405,08
200;0,001;0,00;0,000;0,001;0,00;0,00;0,00;0,00;0,00;;naladowy;2;55,08
300;0,003;0,20;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;3;33,08
50;0,864;70,00;0,135;0,000;0,00;0,66;8,20;0,40;174,50;PMMA;regal;5;3193,33
30;0,009;0,95;0,001;0,000;0,00;0,15;0,30;0,09;0,00;PMMA;naladowy;3;449,08
150;0,019;2,75;0,000;0,000;0,00;0,00;0,00;0,04;0,00;PET ;pozostale;1;40,79
48;0,033;0,00;0,003;0,005;0,16;0,33;0,00;0,16;0,00;PET ;naladowy;3;917,32
100;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;843,90
165;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;811,74
20;0,443;12,50;0,000;0,000;0,00;0,12;0,00;0,00;0,00;;paleciak;3;899,91
300;0,001;0,09;0,000;0,000;0,00;0,01;0,00;0,00;0,00;PET ;naladowy;1;25,02
300;0,001;0,09;0,000;0,000;0,00;0,01;0,00;0,00;0,00;PET ;naladowy;1;23,12
701;0,452;6,34;0,000;0,000;1,56;0,65;0,00;0,47;0,00;PET ;paleciak;3;538,06
30;0,338;8,06;0,124;0,000;0,00;0,10;0,00;0,03;0,00;PET ;regal;3;731,03
50;0,005;10,30;0,000;0,000;0,00;;0,00;0,19;0,00;PMMA ;naladowy;3;444,04
100;0,254;0,00;0,000;0,012;0,00;0,81;0,00;1,61;0,00;PET ;potykacz;2;329,12
250;0,157;0,08;0,000;0,000;1,25;0,62;0,00;0,06;0,00;HIPS;regal;3;333,03
60;0,219;26,43;0,000;0,000;0,00;0,37;0,00;0,47;0,00;;regal;3;1107,54
150;0,471;6,45;0,000;0,000;1,62;4,91;0,00;0,20;0,00;PET ;paleciak;3;708,10
50;0,300;10,50;0,003;0,000;1,50;3,32;0,00;0,00;0,00;;pozostale;4;852,75
1;0,074;4,75;0,000;0,000;0,00;0,10;0,00;0,06;0,00;PET ;potykacz;1;1834,02
200;0,151;0,27;0,000;0,000;2,30;0,84;0,00;0,00;0,00;;regal;2;345,77
150;0,330;0,39;0,000;0,000;3,45;0,92;0,00;0,00;0,00;;regal;2;425,07
200;0,183;0,27;0,000;0,000;2,67;0,84;0,00;0,00;0,00;;regal;2;371,93
12;0,012;0,26;0,000;0,000;0,00;0,07;0,00;0,33;0,00;HIPS;pozostale;1;251,37
150;0,330;0,39;0,000;0,000;3,45;0,92;0,00;0,00;0,00;;regal;2;443,51
100;0,150;0,27;0,000;0,000;2,30;0,84;0,00;0,00;0,00;;regal;2;293,38
150;0,183;0,27;0,000;0,000;2,67;0,84;0,00;0,00;0,00;;regal;2;373,01
1;0,005;4,00;0,001;0,000;0,00;0,16;1,80;0,50;0,00;PMMA;pozostale;2;1911,00
1;0,335;26,00;0,030;0,000;0,00;1,35;11,00;0,70;0,00;PET ;regal;3;6303,75
